#Accretion angular momentum 
#as function of Black Hole Mass
#rc_a and rc_b are bracketing the circularization radius,
#at which gas with initial angular momentum l_acc
#circularizes, which thus is the accretion radius
#
#l_acc, mbh, log(l_acc), log(mbh), rc_a, rc_b
0.005700 0.032900 -2.244125 -1.482804 0.001022 0.000987
0.005700 0.033000 -2.244125 -1.481486 0.001019 0.000984
0.005700 0.033100 -2.244125 -1.480172 0.001016 0.000982
0.005700 0.033200 -2.244125 -1.478862 0.001013 0.000979
0.005700 0.033300 -2.244125 -1.477556 0.001010 0.000976
0.005700 0.033400 -2.244125 -1.476254 0.001007 0.000973
0.005700 0.033500 -2.244125 -1.474955 0.001004 0.000970
0.005700 0.033600 -2.244125 -1.473661 0.001001 0.000967
0.005800 0.033700 -2.236572 -1.472370 0.001033 0.000998
0.005800 0.033800 -2.236572 -1.471083 0.001030 0.000995
0.005800 0.033900 -2.236572 -1.469800 0.001027 0.000992
0.005800 0.034000 -2.236572 -1.468521 0.001024 0.000989
0.005800 0.034100 -2.236572 -1.467246 0.001021 0.000986
0.005800 0.034200 -2.236572 -1.465974 0.001018 0.000984
0.005800 0.034300 -2.236572 -1.464706 0.001015 0.000981
0.005800 0.034400 -2.236572 -1.463441 0.001012 0.000978
0.005800 0.034500 -2.236572 -1.462181 0.001009 0.000975
0.005800 0.034600 -2.236572 -1.460924 0.001006 0.000972
0.005800 0.034700 -2.236572 -1.459670 0.001003 0.000969
0.005800 0.034800 -2.236572 -1.458421 0.001000 0.000967
0.005900 0.034900 -2.229148 -1.457174 0.001031 0.000997
0.005900 0.035000 -2.229148 -1.455932 0.001028 0.000995
0.005900 0.035100 -2.229148 -1.454693 0.001026 0.000992
0.005900 0.035200 -2.229148 -1.453457 0.001023 0.000989
0.005900 0.035300 -2.229148 -1.452225 0.001020 0.000986
0.005900 0.035400 -2.229148 -1.450996 0.001017 0.000983
0.005900 0.035500 -2.229148 -1.449771 0.001014 0.000980
0.005900 0.035600 -2.229148 -1.448550 0.001011 0.000978
0.005900 0.035700 -2.229148 -1.447331 0.001008 0.000975
0.005900 0.035800 -2.229148 -1.446117 0.001006 0.000972
0.005900 0.035900 -2.229148 -1.444905 0.001003 0.000970
0.006000 0.036000 -2.221849 -1.443697 0.001034 0.001000
0.006000 0.036100 -2.221849 -1.442492 0.001031 0.000997
0.006000 0.036200 -2.221849 -1.441291 0.001028 0.000994
0.006000 0.036300 -2.221849 -1.440093 0.001025 0.000992
0.006000 0.036400 -2.221849 -1.438898 0.001022 0.000989
0.006000 0.036500 -2.221849 -1.437707 0.001019 0.000986
0.006000 0.036600 -2.221849 -1.436518 0.001017 0.000984
0.006000 0.036700 -2.221849 -1.435333 0.001014 0.000981
0.006000 0.036800 -2.221849 -1.434152 0.001011 0.000978
0.006000 0.036900 -2.221849 -1.432973 0.001008 0.000976
0.006000 0.037000 -2.221849 -1.431798 0.001006 0.000973
0.006000 0.037100 -2.221849 -1.430625 0.001003 0.000970
0.006000 0.037200 -2.221849 -1.429456 0.001000 0.000968
0.006100 0.037300 -2.214670 -1.428290 0.001030 0.000998
0.006100 0.037400 -2.214670 -1.427128 0.001028 0.000995
0.006100 0.037500 -2.214670 -1.425968 0.001025 0.000992
0.006100 0.037600 -2.214670 -1.424811 0.001022 0.000990
0.006100 0.037700 -2.214670 -1.423658 0.001020 0.000987
0.006100 0.037800 -2.214670 -1.422507 0.001017 0.000984
0.006100 0.037900 -2.214670 -1.421360 0.001014 0.000982
0.006100 0.038000 -2.214670 -1.420216 0.001012 0.000979
0.006100 0.038100 -2.214670 -1.419074 0.001009 0.000977
0.006100 0.038200 -2.214670 -1.417936 0.001006 0.000974
0.006100 0.038300 -2.214670 -1.416800 0.001004 0.000971
0.006100 0.038400 -2.214670 -1.415668 0.001001 0.000969
0.006200 0.038500 -2.207609 -1.414538 0.001031 0.000998
0.006200 0.038600 -2.207609 -1.413412 0.001028 0.000996
0.006200 0.038700 -2.207609 -1.412288 0.001026 0.000993
0.006200 0.038800 -2.207609 -1.411167 0.001023 0.000991
0.006200 0.038900 -2.207609 -1.410049 0.001020 0.000988
0.006200 0.039000 -2.207609 -1.408934 0.001018 0.000986
0.006200 0.039100 -2.207609 -1.407822 0.001015 0.000983
0.006200 0.039200 -2.207609 -1.406713 0.001012 0.000981
0.006200 0.039300 -2.207609 -1.405606 0.001010 0.000978
0.006200 0.039400 -2.207609 -1.404503 0.001007 0.000976
0.006200 0.039500 -2.207609 -1.403402 0.001005 0.000973
0.006200 0.039600 -2.207609 -1.402304 0.001002 0.000971
0.006300 0.039700 -2.200660 -1.401208 0.001032 0.001000
0.006300 0.039800 -2.200660 -1.400116 0.001029 0.000997
0.006300 0.039900 -2.200660 -1.399026 0.001026 0.000995
0.006300 0.040000 -2.200660 -1.397939 0.001024 0.000992
0.006300 0.040100 -2.200660 -1.396854 0.001021 0.000990
0.006300 0.040200 -2.200660 -1.395773 0.001019 0.000987
0.006300 0.040300 -2.200660 -1.394694 0.001016 0.000985
0.006300 0.040400 -2.200660 -1.393617 0.001014 0.000982
0.006300 0.040500 -2.200660 -1.392544 0.001011 0.000980
0.006300 0.040600 -2.200660 -1.391473 0.001009 0.000978
0.006300 0.040700 -2.200660 -1.390404 0.001006 0.000975
0.006300 0.040800 -2.200660 -1.389339 0.001004 0.000973
0.006300 0.040900 -2.200660 -1.388275 0.001001 0.000970
0.006400 0.041000 -2.193820 -1.387215 0.001030 0.000999
0.006400 0.041100 -2.193820 -1.386157 0.001028 0.000997
0.006400 0.041200 -2.193820 -1.385101 0.001025 0.000994
0.006400 0.041300 -2.193820 -1.384049 0.001023 0.000992
0.006400 0.041400 -2.193820 -1.382998 0.001020 0.000989
0.006400 0.041500 -2.193820 -1.381951 0.001018 0.000987
0.006400 0.041600 -2.193820 -1.380905 0.001016 0.000985
0.006400 0.041700 -2.193820 -1.379863 0.001013 0.000982
0.006400 0.041800 -2.193820 -1.378822 0.001011 0.000980
0.006400 0.041900 -2.193820 -1.377785 0.001008 0.000978
0.006400 0.042000 -2.193820 -1.376749 0.001006 0.000975
0.006400 0.042100 -2.193820 -1.375716 0.001003 0.000973
0.006400 0.042200 -2.193820 -1.374686 0.001001 0.000971
